mode,time_bin_s,backlog_mbit,backlog_mbit_smooth
MR,27.25,4998.1487125,4998.191040995859
MR,27.35,5039.837297987578,5039.796911302987
MR,27.450000000000003,5081.404723421383,5081.358511302987
MR,27.55,5122.833512499999,5122.877782807128
MR,27.650000000000002,5164.3951125,5164.395112499999
MR,27.75,5205.9567125,5205.999040995859
MR,27.85,5247.645297987578,5247.60486930718
MR,27.950000000000003,5289.212597433962,5289.166260640513
MR,28.05,5330.640886499999,5330.685323477987
MR,28.150000000000002,5372.2024865,5372.202486499999
MR,28.25,5413.7640865,5413.806416291925
MR,28.35,5455.452675875777,5455.412285286685
MR,28.450000000000003,5497.020093484277,5496.973885286684
MR,28.55,5538.4488865,5538.493155494759
MR,28.650000000000002,5580.0104865,5580.0104865
MR,28.75,5621.5720865,5621.614416291925
MR,28.85,5663.2606758757765,5663.220285286686
MR,28.950000000000003,5704.828093484277,5704.781885286685
MR,29.05,5746.2568865,5746.301155494759
MR,29.150000000000002,5787.8184865,5787.8184865
MR,29.25,5829.380086499999,5829.422416291926
MR,29.35,5871.0686758757765,5871.028285286685
MR,29.450000000000003,5912.636093484277,5912.589885286684
MR,29.55,5954.0648865,5954.109155494759
MR,29.650000000000002,5995.626486499999,5995.6264865
MR,29.75,6037.1880865,6037.230416291925
MR,29.85,6078.8766758757765,6078.836285286685
MR,29.950000000000003,6120.444093484277,6120.397885286685
MR,30.05,6161.872886499999,6161.917155494758
MR,30.150000000000002,6203.4344865,6203.434486499999
MR,30.25,6244.9960865,6244.9960865
MR,30.35,6286.5576865,6265.776886500002
PF,0.45,5.849264959999999,11.87964259764706
PF,0.55,17.91002023529412,17.33291076130057
PF,0.65,28.239447088607594,28.695798770067697
PF,0.75,39.93792898630137,39.67448688211252
PF,0.8500000000000001,50.84608457142857,50.94307897617215
PF,0.9500000000000001,62.045223370786516,61.524235323733535
PF,1.05,71.68139802898551,72.35839690540924
PF,1.1500000000000001,83.3485693164557,83.22891132726828
PF,1.25,94.65676663636364,94.19372277945384
PF,1.35,104.57583238554217,105.3974970250797
PF,1.4500000000000002,116.95989205333333,116.20772715927883
PF,1.55,127.08745703896103,127.09745279584415
PF,1.6500000000000001,137.2450092952381,137.23785944473306
PF,1.75,147.381112,147.25776414189096
PF,1.85,157.14717113043477,157.76195067984187
PF,1.9500000000000002,168.7575689090909,168.1103061967501
PF,2.0500000000000003,178.42617855072464,179.24668074301545
PF,2.15,190.5562947692308,189.73132388302312
PF,2.25,200.2114983291139,200.74740808167044
PF,2.35,211.47443114666666,211.22466130418738
PF,2.45,221.98805443678162,222.05807238663962
PF,2.5500000000000003,232.71173157647058,232.93460605203643
PF,2.6500000000000004,244.10403214285716,244.52467924972618
PF,2.75,256.7582740298507,256.0316248592571
PF,2.85,267.23256840506326,267.7074521555533
PF,2.95,279.131514031746,278.80758416362113
PF,3.0500000000000003,290.05867005405406,290.0619983875744
PF,3.1500000000000004,300.9958110769231,301.8598087681035
PF,3.25,314.5249451733334,313.6349802184399
PF,3.35,325.3841844050633,325.22102325946554
PF,3.45,335.7539402,335.9711532419808
PF,3.5500000000000003,346.7753351208791,346.31400408131867
PF,3.6500000000000004,356.4127369230769,356.5811313479853
PF,3.75,366.555322,366.9148740410257
PF,3.85,377.77656320000006,378.0737459416667
PF,3.95,389.889352625,389.5030715278736
PF,4.05,400.84329875862073,400.6116743024768
PF,4.15,411.1023715238095,411.6851094172203
PF,4.25,423.10965796923074,422.6567431023313
PF,4.3500000000000005,433.75819981395347,433.62858741087416
PF,4.45,444.0179044494382,444.0792202168295
PF,4.55,454.46155638709683,454.4143177501094
PF,4.65,464.76349241379313,464.7186621396225
PF,4.75,474.9309376179775,475.0866627105902
PF,4.8500000000000005,485.5655581,485.8117948119754
PF,4.95,496.9388887179487,496.80063973147304
PF,5.050000000000001,507.89747237647055,507.51403517000125
PF,5.15,517.7057444155844,518.7927557101722
